queue,folder,url,id,type,pageUpdated
technology,application-development,https://www.oracle.com/application-development/,CT12,a11y-true,false
technology,application-development,https://www.oracle.com/application-development/,RC98,a11y-true,false
technology,application-development,https://www.oracle.com/application-development/,RC11v1,a11y-true,false
technology,application-development,https://www.oracle.com/application-development/,RC59,a11y-true,false
technology,application-development,https://www.oracle.com/application-development/,RC59v1,a11y-true,false
technology,application-development,https://www.oracle.com/application-development/,RC11,a11y-true,false
technology,application-development,https://www.oracle.com/application-development/,RC101,a11y-true,false
technology,application-development,https://www.oracle.com/application-development/,RC64v1,a11y-true,false
technology,application-development,https://www.oracle.com/application-development/,RC30v1,a11y-unknown,false
technology,application-development,https://www.oracle.com/application-development/,RC74,a11y-true,false
technology,application-development,https://www.oracle.com/application-development/,RC29,a11y-true,false
technology,application-development,https://www.oracle.com/application-development/,RC120v2,a11y-true,false
technology,application-development,https://www.oracle.com/application-development/,RC59v1,a11y-true,false
technology,application-development,https://www.oracle.com/application-development/,RC97,a11y-true,false
technology,application-development,https://www.oracle.com/application-development/,RC24,a11y-true,false
technology,application-development,https://www.oracle.com/application-development/apex/,CT12,a11y-true,false
technology,application-development,https://www.oracle.com/application-development/apex/,RH03v3,a11y-true,false
technology,application-development,https://www.oracle.com/application-development/apex/,RC59,a11y-true,false
technology,application-development,https://www.oracle.com/application-development/apex/,RC59v1,a11y-true,false
technology,application-development,https://www.oracle.com/application-development/apex/,RC30v1,a11y-unknown,false
technology,application-development,https://www.oracle.com/application-development/apex/,RC04,a11y-true,false
technology,application-development,https://www.oracle.com/application-development/apex/,RC36,a11y-unknown,false
technology,application-development,https://www.oracle.com/application-development/apex/,RC11v1,a11y-true,false
technology,application-development,https://www.oracle.com/application-development/apex/,RC34v2,a11y-true,false
technology,application-development,https://www.oracle.com/application-development/apex/,RC29,a11y-true,false
technology,application-development,https://www.oracle.com/application-development/apex/,RC30,a11y-unknown,false
technology,application-development,https://www.oracle.com/application-development/apex/,RC34v1,a11y-true,false
technology,application-development,https://www.oracle.com/application-development/apex/,RC31,a11y-true,false
technology,application-development,https://www.oracle.com/application-development/apex/faq/,CT12,a11y-true,false
technology,application-development,https://www.oracle.com/application-development/apex/faq/,U03v6,a11y-unknown,false
technology,application-development,https://www.oracle.com/application-development/apex/faq/,CB105,a11y-ready,false
technology,application-development,https://www.oracle.com/application-development/apex/solutions/low-code-development-platform/,U03v6,a11y-unknown,false
technology,application-development,https://www.oracle.com/application-development/apex/solutions/low-code-development-platform/,RC23v3,a11y-true,false
technology,application-development,https://www.oracle.com/application-development/apex/solutions/low-code-development-platform/,RC25,a11y-true,false
technology,application-development,https://www.oracle.com/application-development/apex/solutions/low-code-development-platform/,RC58,a11y-unknown,false
technology,application-development,https://www.oracle.com/application-development/apex/solutions/low-code-development-platform/,RC24,a11y-true,false
technology,application-development,https://www.oracle.com/application-development/apex/solutions/low-code-development-platform/,RC61,a11y-ready,false
technology,application-development,https://www.oracle.com/application-development/apex/solutions/low-code-development-platform/,RC24v1,a11y-true,false
technology,application-development,https://www.oracle.com/application-development/apex/solutions/low-code-development-platform/,RC56,a11y-true,false
technology,application-development,https://www.oracle.com/application-development/apex/solutions/low-code-development-platform/,RC11v1,a11y-true,false
technology,application-development,https://www.oracle.com/application-development/apex/solutions/low-code-development-platform/,RC57,a11y-ready,false
technology,application-development,https://www.oracle.com/application-development/cloud-services/developer-service/,RH03,a11y-true,true
technology,application-development,https://www.oracle.com/application-development/cloud-services/developer-service/,RC24,a11y-true,true
technology,application-development,https://www.oracle.com/application-development/developerstudio/,CT12,a11y-true,false
technology,application-development,https://www.oracle.com/application-development/developerstudio/,RH03,a11y-true,false
technology,application-development,https://www.oracle.com/application-development/developerstudio/,RC35,a11y-true,false
technology,application-development,https://www.oracle.com/application-development/developerstudio/,RC64,a11y-ready,false
technology,application-development,https://www.oracle.com/application-development/developerstudio/,RC30,a11y-unknown,false
